# Starting test run
x y points n_ticks consumed_balls
488 504 27 4327 13
757 374 22 3021 11
310 209 24 3048 12
523 134 29 4197 13
463 480 39 2849 16
425 433 22 3035 11
608 477 28 4106 14
112 241 24 5463 12
81 248 28 4628 14
748 567 24 4406 12
629 270 26 3683 13
698 489 33 3059 14
766 339 26 3612 13
273 478 26 2483 13
290 166 29 3165 14
444 114 24 2534 12
165 471 33 4055 16
603 564 22 3140 11
522 188 28 2569 14
714 98 28 3741 14
274 144 26 2176 13
441 200 24 3965 12
593 404 16 2870 8
326 109 28 3255 14
53 179 22 3415 11
113 66 22 3330 11
640 80 22 3045 11
346 446 25 3087 12
697 245 18 2753 9
587 595 30 3595 15
490 421 18 2671 9
525 395 24 2612 12
286 170 28 2547 14
574 411 20 2951 10
66 468 35 7678 14
624 550 14 2053 7
434 333 28 2892 14
244 399 20 4383 10
316 538 27 2561 13
401 445 26 3267 13
619 510 18 2359 9
692 386 28 4656 14
244 277 33 4482 15
703 278 26 3770 13
600 161 30 2698 15
83 534 10 1729 5
296 430 24 2178 12
676 69 31 5873 14
220 573 22 2228 11
13 558 26 4470 13
613 53 14 2258 7
519 413 28 3191 14
379 132 29 5876 13
306 390 28 3300 14
643 483 30 2354 15
783 262 8 2128 4
645 91 22 4194 11
225 599 27 5508 13
202 284 28 3634 14
215 191 28 3587 14
732 13 29 6478 13
696 530 30 4564 13
462 436 26 2882 13
559 484 32 5401 15
240 370 30 3974 15
63 449 20 3173 10
437 172 20 3929 10
431 62 30 4397 15
557 369 24 4665 12
674 504 14 2005 7
603 202 24 2989 12
436 393 30 3669 14
427 185 20 3527 10
553 435 31 2754 15
54 91 8 1188 4
52 534 23 3179 11
540 327 30 4459 15
487 242 24 2278 12
633 247 30 3208 15
638 518 24 2987 12
19 553 20 3909 10
569 162 30 4316 15
175 260 24 3028 12
225 428 8 1443 4
14 490 22 2999 11
669 230 14 1777 7
681 441 14 2639 7
51 312 18 3079 9
394 269 26 2603 13
422 440 28 3415 14
367 180 18 4603 9
307 189 4 2010 2
743 142 26 3056 13
