# Starting test run
x y points n_ticks consumed_balls
574 243 29959 1362 994
246 521 33583 1172 988
40 554 190465 1176 990
23 294 133575 1286 982
639 417 60535 1219 987
588 260 27764 1228 985
470 498 55755 1183 982
201 371 24529 1206 982
79 431 97126 1188 969
719 84 54724 1249 984
341 357 15130 1247 974
601 181 23554 1171 977
134 139 111721 1210 988
487 271 18065 1233 993
523 102 24364 1229 987
303 545 42662 1238 987
265 434 21417 1208 986
570 586 59622 1200 991
534 186 24773 1264 986
98 224 55352 1285 983
430 594 38383 1267 979
549 10 60962 1304 977
187 591 103330 1216 981
508 340 19677 1241 993
496 229 16460 1266 979
562 405 31023 1193 989
388 152 25153 1148 972
676 309 80953 1167 983
86 243 29346 1335 982
577 267 35784 1181 982
271 111 41660 1162 989
564 266 19200 1228 987
511 496 25923 1224 987
38 390 118326 1297 976
147 8 134266 1248 983
502 367 24289 1175 987
136 125 44822 1263 982
388 496 16849 1226 982
253 505 33437 1185 981
788 335 105295 1196 992
318 37 75110 1224 985
205 599 73439 1300 990
39 462 125552 1277 989
243 139 24165 1163 990
83 390 67278 1196 984
742 479 421148 1249 992
400 132 21437 1214 991
200 362 31939 1212 995
667 543 88513 1190 985
17 289 97119 1248 984
793 549 213763 1218 985
581 428 45184 1222 990
455 384 17363 1202 989
506 99 40487 1134 978
130 254 30942 1202 985
612 557 89038 1261 986
554 586 132484 1270 976
320 61 64120 1239 984
93 122 90164 1271 985
299 584 48663 1243 991
706 539 191211 1161 985
418 303 19704 1238 992
522 364 30612 1212 993
642 508 90826 1193 981
46 286 95218 1256 990
180 258 41266 1278 980
548 355 24894 1169 989
68 464 183116 1163 989
101 348 49280 1166 984
255 260 23596 1169 979
711 534 97398 1146 987
420 66 34870 1151 986
144 578 94018 1211 985
740 330 93397 1204 988
793 358 200738 1266 983
771 381 110325 1294 986
128 433 127702 1172 983
775 22 199731 1226 978
225 232 34990 1252 991
621 402 37759 1275 984
354 3 77992 1182 981
287 106 33343 1150 984
621 528 116187 1205 983
675 304 37353 1211 984
208 176 93261 1184 985
656 445 51014 1200 972
144 433 66378 1417 985
549 298 37987 1126 982
471 394 22527 1188 985
614 84 105195 1176 978
409 596 38157 1175 981
541 355 21840 1177 980
741 581 154875 1175 985
406 28 37758 1212 980
511 555 36086 1232 985
142 247 31103 1253 981
5 169 189261 1193 978
495 188 67365 1300 988
745 416 87955 1344 989
169 542 91525 1300 989
782 139 90528 1203 990
716 140 78819 1215 975
210 213 26486 1205 985
248 292 39063 1191 981
426 570 98504 1181 978
624 147 29948 1325 984
67 255 349749 1198 992
25 574 169229 1264 987
780 104 85390 1254 981
475 203 26368 1230 983
340 513 72765 1351 992
361 594 43869 1191 985
590 303 36481 1266 991
697 22 162379 1263 978
101 330 65117 1170 982
764 531 157517 1240 983
369 489 19014 1415 988
263 332 25581 1174 984
106 166 53991 1332 985
694 423 50976 1253 981
403 435 20172 1293 982
147 478 50971 1202 984
682 402 63254 1244 976
80 231 89727 1217 977
372 409 28643 1174 977
364 526 32447 1278 988
221 547 358053 1183 977
618 250 44653 1233 987
192 131 46582 1201 982
308 178 28806 1195 987
86 128 83552 1204 992
395 256 22220 1218 987
513 127 30829 1243 978
172 519 98827 1186 983
149 71 43558 1251 982
635 342 26963 1177 983
33 181 108368 1350 990
93 172 55532 1307 976
89 173 65971 1234 981
158 241 29094 1212 981
684 71 96156 1166 988
401 192 16025 1292 985
115 198 66189 1236 980
138 565 75428 1207 986
535 173 22414 1190 986
250 336 22994 1303 988
709 62 75262 1194 989
322 240 15645 1173 988
4 446 172880 1258 984
159 387 45464 1245 987
5 234 102398 1372 983
635 409 35276 1296 991
87 74 163805 1227 993
204 436 49258 1206 987
284 345 25488 1263 986
508 57 41240 1226 987
406 106 30737 1258 987
390 210 19235 1303 989
574 355 26456 1177 975
761 543 130210 1247 985
416 58 44178 1247 991
573 96 71929 1288 981
56 310 68469 1258 983
324 291 20908 1180 988
544 77 35376 1213 978
345 296 13565 1214 974
399 158 30196 1262 988
173 319 38862 1171 979
517 360 30483 1216 985
115 319 49037 1253 968
22 534 202476 1181 981
707 242 53939 1235 983
490 326 18321 1193 988
728 331 40879 1226 986
16 434 129396 1189 984
140 594 67673 1214 981
284 366 14973 1209 988
729 345 264932 1158 983
643 439 33159 1223 982
722 170 76702 1259 986
563 111 30267 1269 985
42 318 79585 1269 976
183 259 22015 1197 977
719 30 67007 1192 982
614 415 63998 1218 988
383 227 16434 1166 981
674 311 35268 1234 984
621 379 45815 1224 974
475 190 22009 1225 986
721 366 73040 1275 985
534 262 26958 1285 981
103 293 52677 1261 985
337 231 16905 1144 975
54 263 61853 1236 982
723 445 62721 1227 975
646 20 211895 1345 982
103 70 162979 1182 986
163 441 48914 1214 988
593 416 22908 1195 986
575 465 39688 1307 981
473 208 23893 1203 989
270 378 23922 1224 988
2 29 210698 1197 988
351 406 24407 1193 978
212 561 68185 1207 988
206 450 36064 1240 976
663 216 55199 1282 981
475 481 24977 1191 986
373 468 36128 1170 974
593 398 30143 1181 985
199 81 47629 1216 982
693 50 89103 1226 982
426 365 19543 1282 992
586 268 63379 1227 988
768 384 74835 1214 983
274 425 18829 1245 989
334 157 24486 1288 987
253 585 74599 1247 983
513 89 39048 1168 982
289 29 212901 1166 984
732 445 105301 1215 983
29 221 91339 1212 982
356 25 50262 1190 984
109 423 97344 1245 979
156 49 106661 1223 979
122 27 170430 1195 986
158 296 35933 1407 989
507 225 20585 1277 988
312 31 44761 1185 984
746 437 89641 1260 980
202 551 60575 1242 984
219 213 26331 1172 983
296 183 26552 1175 977
729 19 203998 1215 986
139 2 105715 1227 983
